ZIPCode,ideal_count,Latitude,Longitude
34209,12,27.463808,-82.615686
34997,11,27.129802,-80.219948
32137,11,29.611803,-81.194524
34110,10,26.309172,-81.823563
32163,10,28.841361,-82.003976
34698,10,28.032463,-82.769251
34787,9,28.420579,-81.654906
32257,9,30.202571,-81.638488
33437,9,26.493434,-80.168947
34609,9,28.440498,-82.523312
32162,9,28.903925,-81.969292
34952,9,27.312949,-80.288011
32738,8,28.853104,-81.184525
33928,8,26.430062,-81.729165
32168,8,29.027378,-80.960023
32765,8,28.614556,-81.263792
32940,8,28.241333,-80.690133
32526,8,30.451997,-87.31259
32796,7,28.612353,-80.806101
34608,7,28.504549,-82.556876
33919,7,26.550448,-81.913381
32935,7,28.12802,-80.634996
34655,7,28.201814,-82.693752
32780,7,28.559655,-80.809085
34275,7,27.151432,-82.392684
33629,7,27.908999,-82.524686
33176,7,25.683139,-80.341996
32065,7,30.178253,-81.808441
33021,7,26.025867,-80.197821
32259,7,30.087793,-81.482694
32714,7,28.643631,-81.432982
32068,7,30.04201,-81.857032
34241,7,27.24073,-82.401176
33547,7,27.834151,-82.233358
33544,6,28.192966,-82.357788
32312,6,30.558826,-84.260175
33983,6,27.000235,-82.020832
34482,6,29.25644,-82.221715
33990,6,26.618485,-81.962627
33467,6,26.607012,-80.162048
32216,6,30.29132,-81.59109
33566,6,28.001959,-82.141396
32317,6,30.471373,-84.166687
32578,6,30.487681,-86.413855
32828,6,28.532759,-81.164796
33558,6,28.11905,-82.537495
33967,6,26.48649,-81.820547
33556,6,28.174673,-82.583982
33543,6,28.198005,-82.314192
34219,6,27.538394,-82.371672
32439,6,30.49426,-86.201554
33914,6,26.553115,-81.978389
32566,6,30.41011,-86.868518
32570,6,30.620331,-87.097624
33904,6,26.557743,-81.959423
34689,6,28.139324,-82.780892
32507,6,30.371246,-87.326753
33624,6,28.092816,-82.511983
34677,6,28.04583,-82.692818
33908,6,26.481862,-81.853993
32174,6,29.270172,-81.165091
33596,6,27.905051,-82.224581
34953,6,27.285825,-80.419044
34668,6,28.308221,-82.675852
33326,6,26.112805,-80.382325
33765,5,27.987249,-82.742817
34211,5,27.436292,-82.40279
33803,5,28.003141,-81.93559
32669,5,29.647433,-82.525002
33813,5,27.990986,-81.940873
32708,5,28.669183,-81.263061
33901,5,26.603477,-81.864737
33647,5,28.109255,-82.403154
34203,5,27.452592,-82.535454
34212,5,27.497017,-82.418952
33598,5,27.692252,-82.319155
32724,5,29.06131,-81.260126
34119,5,26.253006,-81.722889
33772,5,27.835253,-82.806471
32246,5,30.289563,-81.503003
32127,5,29.097639,-81.022542
33410,5,26.872718,-80.088521
32164,5,29.426702,-81.21883
33511,5,27.884118,-82.286023
34683,5,28.060839,-82.764701
33157,5,25.61466,-80.314288
32952,5,28.317342,-80.678566
32092,5,29.947076,-81.497486
34695,5,28.007269,-82.692802
34711,5,28.541519,-81.745052
32958,5,27.760146,-80.482411
33076,5,26.345217,-80.278157
33067,5,26.273982,-80.204604
33065,5,26.25931,-80.284103
33026,5,26.026498,-80.294396
33025,5,26.001464,-80.292182
34990,5,27.179603,-80.282944
34606,5,28.43919,-82.630123
33756,5,27.945792,-82.768343
34428,5,28.914827,-82.617036
32256,5,30.212419,-81.526729
32750,4,28.723475,-81.36634
32967,4,27.686713,-80.439243
32703,4,28.651244,-81.527183
33612,4,28.05377,-82.480699
33463,4,26.628,-80.125248
32962,4,27.600611,-80.409186
32789,4,28.595662,-81.328623
32819,4,28.46005,-81.481559
32712,4,28.697304,-81.46455
32608,4,29.605108,-82.359342
33014,4,25.891233,-80.294545
33063,4,26.251782,-80.222741
32812,4,28.506978,-81.317971
33498,4,26.386828,-80.232379
33155,4,25.733972,-80.328415
32713,4,28.888874,-81.331314
32904,4,28.066333,-80.709203
33458,4,26.907919,-80.127836
32953,4,28.370019,-80.710755
33609,4,27.940578,-82.516622
33455,4,27.098969,-80.151563
32835,4,28.524759,-81.496162
32766,4,28.644556,-81.155872
32837,4,28.367381,-81.427226
32725,4,28.865112,-81.252319
32757,4,28.840281,-81.624602
33317,4,26.124913,-80.238604
33325,4,26.111971,-80.340645
33434,4,26.384759,-80.19771
33328,4,26.085913,-80.290088
33418,4,26.839318,-80.154281
33549,4,28.169711,-82.4316
33024,4,26.015373,-80.267875
32225,4,30.375863,-81.515587
34231,4,27.255177,-82.523823
32141,4,28.940709,-80.876395
34109,4,26.235674,-81.761999
34653,4,28.23436,-82.688781
34114,4,26.05317,-81.68959
34135,4,26.347387,-81.758722
34202,4,27.395233,-82.360293
34613,4,28.546664,-82.555612
34222,4,27.549258,-82.506504
32303,4,30.469422,-84.282518
34233,4,27.273164,-82.49003
34667,4,28.33509,-82.68972
32250,4,30.271957,-81.391703
34601,4,28.52506,-82.327714
33764,4,27.934619,-82.754794
34285,4,27.100199,-82.442902
34293,4,27.05833,-82.390117
32221,4,30.306119,-81.801868
32208,4,30.38628,-81.696337
34471,4,29.154702,-82.111306
32218,4,30.502882,-81.617058
34104,4,26.166078,-81.770138
34480,4,29.093038,-82.0855
32459,4,30.350068,-86.235561
32034,4,30.614192,-81.496657
34759,4,28.127646,-81.483514
34684,4,28.08719,-82.724601
34986,4,27.362868,-80.401319
33909,4,26.715778,-81.921581
33913,4,26.570606,-81.784116
34744,4,28.282872,-81.344838
34957,4,27.250424,-80.279851
34771,4,28.246823,-81.228324
34715,4,28.59767,-81.765755
33948,4,26.989622,-82.153731
33776,4,27.856173,-82.826947
34987,4,27.252007,-80.444128
34691,4,28.175423,-82.776801
34688,4,28.136652,-82.678401
34481,3,29.100405,-82.277547
34491,3,29.025208,-82.066932
33055,3,25.943571,-80.277377
33411,3,26.712205,-80.208158
34669,3,28.35673,-82.660643
33068,3,26.221762,-80.234777
34947,3,27.424873,-80.374092
33408,3,26.817722,-80.055651
34607,3,28.513492,-82.599183
34758,3,28.153295,-81.466582
34748,3,28.755928,-81.872414
34639,3,28.206717,-82.403082
33323,3,26.16357,-80.317377
34714,3,28.349005,-81.66407
33435,3,26.511194,-80.065498
33322,3,26.150607,-80.286832
33703,3,27.816394,-82.61783
33445,3,26.447577,-80.110725
33952,3,27.009902,-82.075526
33773,3,27.881744,-82.737239
33618,3,28.077107,-82.495894
33615,3,28.007865,-82.600979
33810,3,28.145956,-82.013583
33825,3,27.610725,-81.50289
33830,3,27.953363,-81.86589
33880,3,27.992509,-81.788135
33881,3,28.035213,-81.765047
33884,3,27.97363,-81.657235
33898,3,27.915598,-81.530995
33023,3,25.997737,-80.209473
33917,3,26.686346,-81.862556
33594,3,27.926229,-82.231446
33584,3,27.96472,-82.273947
